,stats,DataVersion
minecraft:crafted,"{'minecraft:crafting_table': 1, 'minecraft:spruce_planks': 12, 'minecraft:spruce_boat': 1, 'minecraft:bucket': 2}",3337
minecraft:custom,"{'minecraft:time_since_rest': 2437, 'minecraft:sprint_one_cm': 73418, 'minecraft:damage_taken': 1290, 'minecraft:walk_one_cm': 286170, 'minecraft:mob_kills': 1, 'minecraft:drop': 2, 'minecraft:damage_dealt': 531, 'minecraft:swim_one_cm': 3698, 'minecraft:interact_with_crafting_table': 2, 'minecraft:fly_one_cm': 6313, 'minecraft:open_chest': 7, 'minecraft:crouch_one_cm': 4, 'minecraft:play_time': 78938, 'minecraft:deaths': 5, 'minecraft:walk_under_water_one_cm': 13100, 'minecraft:sneak_time': 90, 'minecraft:boat_one_cm': 234210, 'minecraft:jump': 436, 'minecraft:leave_game': 1, 'minecraft:walk_on_water_one_cm': 27069, 'minecraft:time_since_death': 2378, 'minecraft:total_world_time': 85537, 'minecraft:fall_one_cm': 8904}",3337
minecraft:dropped,{'minecraft:egg': 2},3337
minecraft:killed,{'minecraft:spider': 1},3337
minecraft:killed_by,"{'minecraft:guardian': 1, 'minecraft:spider': 1, 'minecraft:zombie': 2}",3337
minecraft:mined,"{'minecraft:magma_block': 1, 'minecraft:crafting_table': 1, 'minecraft:torch': 5, 'minecraft:grass': 1, 'minecraft:grass_block': 50, 'minecraft:chest': 4, 'minecraft:sand': 4, 'minecraft:dirt': 171, 'minecraft:cobblestone': 9, 'minecraft:spruce_leaves': 1, 'minecraft:stone': 14, 'minecraft:sugar_cane': 2}",3337
minecraft:picked_up,"{'minecraft:birch_log': 1, 'minecraft:magma_block': 1, 'minecraft:crafting_table': 1, 'minecraft:salmon': 2, 'minecraft:jungle_log': 6, 'minecraft:torch': 9, 'minecraft:acacia_log': 4, 'minecraft:wooden_pickaxe': 1, 'minecraft:fire_charge': 2, 'minecraft:sand': 7, 'minecraft:spruce_log': 3, 'minecraft:spider_eye': 1, 'minecraft:dark_oak_log': 4, 'minecraft:dirt': 233, 'minecraft:arrow': 2, 'minecraft:rotten_flesh': 4, 'minecraft:iron_leggings': 2, 'minecraft:apple': 6, 'minecraft:golden_hoe': 1, 'minecraft:stone_axe': 2, 'minecraft:spruce_boat': 1, 'minecraft:spruce_planks': 3, 'minecraft:iron_ingot': 18, 'minecraft:glistering_melon_slice': 11, 'minecraft:golden_apple': 3, 'minecraft:bread': 8, 'minecraft:oak_sapling': 1, 'minecraft:birch_sapling': 1, 'minecraft:sugar_cane': 5, 'minecraft:chest': 5, 'minecraft:obsidian': 10, 'minecraft:cobblestone': 26, 'minecraft:egg': 6}",3337
minecraft:used,"{'minecraft:spruce_boat': 2, 'minecraft:water_bucket': 15, 'minecraft:lava_bucket': 18, 'minecraft:chest': 1, 'minecraft:wooden_pickaxe': 50, 'minecraft:rotten_flesh': 1, 'minecraft:torch': 1, 'minecraft:sand': 1, 'minecraft:dirt': 111, 'minecraft:crafting_table': 1, 'minecraft:egg': 1, 'minecraft:bucket': 35, 'minecraft:spider_eye': 1, 'minecraft:obsidian': 5}",3337
